No,Kode,Nama Barang,Spesifikasi,Satuan
590,1.1.7.01.02.08.002.00087,Tool Kit,"Tool Kit ; 100 Pcs :Mould Blow Plastic Case, Palu Konde 8 Oz, Gagang Sok 1/ 2"" Rachet, Gagang Sliding T 1/ 2"" X 10"", Universal Joint 1/ 2"", Ekstensi Sok 1/ 2"" X 5"", 10Pcs Mata Sok 1/ 2"" Mm 6 Pt 10, 11, 12, 13, 14, 15, 17, 19, 22, 24 Mm, 2 Pcs Mata Sok Busi 1/ 2"" 16, 21 Mm, 9 Pcs Mata Sok 1/ 4"" Mm 6 Pt 5, 6, 7, 8, 9, 10, 11, 12, 13 Mm, Magnetic Bit Driver, 4 Pcs Mata Obeng Hex 1/ 4"" X 25Mm Hex 3, 4, 5, 6 Mm, 3 Pcs Mata Obeng Hex 1/ 4"" X 25Mm Plus Ph1, Ph2, Ph3, 3 Pcs Mata Obeng Hex 1/ 4"" X 25Mm Torx T15, T20, T30, 8 Pcs Kunci Ringpas 8, 10, 11, 12, 13, 14, 17, 19 Mm, 4 Pcs Kunci L 5, 6, 8, 10 Mm, 5 Pcs Obeng Plus Ph2 X 38Mm, Ph2X100Mm, Min 6 X 28Mm, Min 6 X 100Mm, Min 8 X 200Mm, Tank Burung 10"", Tank Kupas Kabel, Tank Stel 10"", Circuit Tester, 42 Pcs Wire Connector",SET
591,1.1.7.01.02.08.002.00089,Kunci L Set,Isi 8/10,SET
592,1.1.7.01.02.08.002.00099,Kunci Sok Set,"Isi 24 pcs, Ukuran Sok 1/2"", Bahan Chrome Vanadium",SET
593,1.1.7.01.02.08.002.00101,Gergaji Kayu,-,BUAH
594,1.1.7.01.02.08.002.00109,PAHAT BETON,"DIAMETER 2,5 CM PANJANG 20 CM",PCS
595,1.1.7.01.02.08.002.00121,Kunci Pipa,"10""",BUAH
596,1.1.7.01.02.08.003.00001,Drum BBM,"Material Baja, Kapasitas 200 liter",UNIT
597,1.1.7.01.02.08.003.00006,Elektroda las listrik,"Bahan / material untuk menyambung besi (las), Ukuran 2,5 mm, Standar SNI/Setara",DUS
598,1.1.7.01.02.08.003.00021,Alat Bantu,"(Gurinda Cutting 4"", Batu Gurinda, Tool Kits Bor Beton, Sewa Mesin Las)",LS
599,1.1.7.01.02.03.001.00661,Spalk Set Bidai Kayu,-,SET
600,1.1.7.01.02.04.006.00008,Sendok Semen,"Ukuran 5"" Gagang Kayu",BUAH
601,1.1.7.01.02.04.014.00001,Tissue Towel for Laboratory,Lokal,UNIT
602,1.1.7.01.02.04.057.00001,Pressure Gauge,-,BUAH
603,1.1.7.01.02.06.001.00007,Konektor RG 45 Cat 6,0,BOX
604,1.1.7.01.02.06.002.00029,Bracket CCTV,Bahan besi,UNIT
605,1.1.7.01.02.06.002.00034,SWITCH HUB 8 PORT,"8 x Gigabit PoE+ ports,Supports static link aggregation, RSTP, VLAN, QoS, and IGMP Snooping",UNIT
606,1.1.7.01.02.06.002.00058,Bateray Cadangan HT (328),-,BUAH
607,1.1.7.01.02.06.002.00062,Switching Power Supply Adaptor untuk RIG TETRA,"Kompatibel dengan tipe perangkat SRG Series Input 100240V, 1.9A Output 12 V, 6.66A.",UNIT
608,1.1.7.01.02.11.001.00150,Charge controller (Solar Panel),Rated Voltage : 12V - 24V,UNIT
609,1.1.7.01.02.11.001.00151,Coaxial RG 6 + power,Coaxial RG 6 + power,UNIT
610,1.1.7.01.01.01.002.00012,Semen Warna,Nat,KG
611,1.1.7.01.01.01.002.00016,Mortar,Perekat Bata Ringan 40 Kg,ZAK
612,1.1.7.01.01.01.002.50005,Gypsum Board,"Tbl 9Mm, Uk 120X240, Knauf",LEMBAR
613,1.1.7.01.01.01.005.00025,Bata Ringan,"60 X 20 Cm, Tebal 10 Cm",M3
614,1.1.7.01.01.01.006.00010,Cat Tembok,"(Luar) Putih Isi 2.5 Liter 3,5 Kg",KALENG
615,1.1.7.01.01.01.006.00053,Plamur Tembok,5 Kg,GALON
616,1.1.7.01.01.01.007.00003,Seng Gelombang,Bjls 30 (80 X 180) Cm,LEMBAR
617,1.1.7.01.01.01.008.00013,Reng Galvalum,Re 30X45 Mm - 6M,BATANG
618,1.1.7.01.01.01.008.00015,Talang Galvalum,90,M
619,1.1.7.01.01.01.011.00023,Pagar Panel,Panel 50X400X2400 Mm,BATANG
620,1.1.7.01.01.01.011.00026,Tiang Pagar Pracetak Mutu K225,17X18X280 Cm,BUAH
621,1.1.7.01.01.01.012.00017,Besi Wf,"Uk. 200X100X5,5X8 Mm - 12 M",BATANG
622,1.1.7.01.01.01.012.00043,Hollow Plafond Galvalum,"T=0,35Mm, 2X4X400 Cm",BATANG
623,1.1.7.01.01.01.012.00076,Besi Beton,"Dia 16 Mm, 12M",BATANG
624,1.1.7.01.01.01.012.00078,Besi Beton,"Dia 10 Mm, 12M",BATANG
625,1.1.7.01.01.01.012.00085,Besi Beton,Polos Diameter 16,KG
626,1.1.7.01.01.01.012.00128,Besi Plat Hitam,"5mm x 4'' x 8'' (5mm x 122cm x 244cm), SNI",LEMBAR
627,1.1.7.01.01.01.013.00051,Keramik Lantai Polos,Uk. 20 X 20 Cm,M2
628,1.1.7.01.01.01.013.00052,Keramik Lantai Polos,Uk. 30 X 30 Cm,M2
629,1.1.7.01.01.01.014.00010,Metal Roof,"Imw Nok Kotak Panjang 914 Mm Tebal 0,25 Colour",LEMBAR
630,1.1.7.01.01.01.015.00011,U-Ditch,Panjang Efektif 1.20 M U 600/ 600,UNIT
631,1.1.7.01.01.01.015.00016,U-Ditch,Panjang Efektif 1.20 M U 1000/ 1200,UNIT
632,1.1.7.01.01.01.015.00022,Box Culvert,"Bc 600X600 High Duty Panjang 1,00 M",UNIT
633,1.1.7.01.01.01.015.00024,Box Culvert,"Bc 1000X1000 High Duty Panjang 1,00 M",UNIT
634,1.1.7.01.01.01.015.00026,Box Culvert,"Bc 800X800 Mm, Type Heavy Duty (Hd) Panjang 1,00 M",UNIT
635,1.1.7.01.01.01.015.00028,Box Culvert,"Bc 1200X1200 Mm, Type Heavy Duty (Hd) Panjang 1,00 M",UNIT
636,1.1.7.01.01.01.015.00097,Tutup U-Ditch,"Tutup U 400 High Duty Panjang Efektif 0,60 M",UNIT
637,1.1.7.01.01.01.015.00102,Tutup U-Ditch,"Tutup U 600 High Duty Panjang Efektif 0,60 M",UNIT
638,1.1.7.01.01.01.015.00103,Tutup U-Ditch,"Tutup U 800 High Duty Panjang Efektif 0,60 M",UNIT
639,1.1.7.01.01.01.015.00104,Tutup U-Ditch,"Tutup U 1000 High Duty Panjang Efektif 0,60 M",UNIT
640,1.1.7.01.01.01.015.05004,Tutup U-Ditch,Tutup U-Ditch 500 mm Heavy Duty Panjang Efektif 0.6 m,UNIT
641,1.1.7.01.01.04.002.00071,ENGINE OIL (L),15W40-DH1/P20,LITER
642,1.1.7.01.01.05.002.00046,Terentang,Papan Uk. 2X30X400 Cm,M3
643,1.1.7.01.02.01.001.00150,Ban Luar Pick up Isuzu Panther,(165/80 - R 13) Tubeless,BUAH
644,1.1.7.01.02.01.001.02896,Ban Tubles,225/70 R16,BUAH
645,1.1.7.01.02.01.001.03739,Ban Luar,195/55 R16,UNIT
646,1.1.7.01.02.01.001.03777,Ban Luar,215/70 R 16,PCS
647,1.1.7.01.02.01.001.03778,Ban Luar,Ukuran 265/70 R16,UNIT
648,1.1.7.01.02.01.001.03799,BAN LUAR,245/70 R16,BUAH
649,1.1.7.01.02.01.001.03801,BAN LUAR,195/60 R15,BUAH
650,1.1.7.01.02.01.001.03802,Ban Mobil Luar,Uk. 255/70 R 15 Tubeless,BUAH
651,1.1.7.01.02.01.001.04292,Blade,Spart Part,PCS
652,1.1.7.01.02.01.003.00110,Kunci jendela sliding,Stainless Steel,BUAH
653,1.1.7.01.02.03.001.00646,Timbangan Duduk Jarum,Kapasitas 100 kg; ukuran plateform : 30 cm x 40 cm,BUAH
654,1.1.7.01.02.04.006.00018,Mata Pisau Jack Hammer,lancip/pahat,UNIT
655,1.1.7.01.02.04.006.00021,Mata Bor,1 - 4Inch,UNIT
656,1.1.7.01.02.04.006.00058,Sekrup,"Gypsum Board, Isi 1000 Biji",KOTAK
657,1.1.7.01.02.04.006.00059,Sekrup,Fixer,BUAH
658,1.1.7.01.02.06.001.00011,Handy Talkie,"Spesifikasi - Icom Ic V85 VHF FM Transceiver, Specification : General, Frequency coverage (Unit : MHz)",UNIT
659,1.1.7.01.02.08.002.00181,Ban luar sepeda motor,"Ban depan, ukuran 70/90-14, tubless",UNIT
660,1.1.7.01.02.08.002.00182,Ban luar sepeda motor,"Ban belakang, ukuran 80/90-14, tubless",UNIT
661,1.1.7.01.02.11.001.00165,Meteran Lasser,Perkakas Kerja,UNIT
662,1.1.7.01.03.01.006.00009,Map Buffalo,5002,BOX
663,1.1.7.01.03.01.006.00094,Map Biru Berlogo DKI Jaya Raya,uk. Folio,BUAH
664,1.1.7.01.03.01.006.50009,Kardus,Arsip ; Bahan Carogated 200 Gr Uk.37x27x17 Cm Oplah 1 S.D 1000,BUAH
665,1.1.7.01.03.01.014.00068,Cetak Buku,Surat Keluar/Masuk,BUKU
666,1.1.7.01.03.01.014.00089,Surat Perintah Jalan,"Ukuran 1/ 2 Folio, Ncr 4 Ply, 2 Warna, Nomorator, Per Buku 50 Set",BUKU
667,1.1.7.01.03.02.004.00008,AMPLOP DINAS,BESAR,BUAH
668,1.1.7.01.03.06.004.00623,Tinta Printer,Black 003 C13T00V100,PCS
669,1.1.7.01.03.06.004.00624,Tinta Printer,Cyan 003 C13T00V200,PCS
670,1.1.7.01.03.06.004.00625,Tinta Printer,Magenta 003 C13T00V300,PCS
671,1.1.7.01.03.06.004.00626,Tinta Printer,Yellow 003 C13T00V400,PCS
672,1.1.7.01.03.06.015.00003,Keyboard dan Mouse,Wireless,BUAH
673,1.1.7.01.03.07.005.00066,Kran Air,1/ 2 Inch,BUAH
674,1.1.7.01.03.07.006.00014,Tali Rafia,-,ROLL
675,1.1.7.01.03.07.006.50004,Webbing Sling,"Width 5"" x 5 Ton x 4 m",BUAH
676,1.1.7.01.03.07.006.50005,Webbing Sling,"Width 5"" x 5 Ton x 8 m",BUAH
677,1.1.7.01.03.07.014.00014,Safety Line,3 inch 1 Roll = 300 m,UNIT
678,1.1.7.01.03.07.015.00054,Papan Nama Proyek,Bahan Multiplek 8 Mm+ Rangka Kayu,UNIT
679,1.1.7.01.03.08.009.00024,Accu,"Model Aki Basah N 70 s/d 12 Volt, 70 Ah, Kemasan Asli Dan Berlabel, Lengkap Dengan Air Aki Zuur Kemasan Botol",BUAH
680,1.1.7.01.03.08.009.00079,Accu,Accu 65 Amp,BUAH
681,1.1.7.01.03.08.009.00089,Accu,45 Ah,PCS
682,1.1.7.01.03.08.009.00102,Accu,12 V 40 A,BUAH
683,1.1.7.01.03.08.010.00010,Baterai,Aaa,BUAH
684,1.1.7.01.03.08.010.00011,Baterai,Aa,BUAH
685,1.1.7.01.03.09.001.00002,Benang,Benang ukur warna putih atau coklat,BUAH
686,1.1.7.01.03.09.002.00025,Topi Kain,Bahan Kain Berlogo,BUAH
687,1.1.7.01.03.09.003.00162,Celana Panjang,"Celana Panjang (Bahan/ Warna : Bellini , Biru) Outdoor",BUAH
688,1.1.7.01.03.09.004.00048,Sarung Tangan,"Rubber Coating Gloves, Abrasion And Cutting Resistance",PASANG
689,1.1.7.01.03.09.005.00024,SEPATU BOOT,KARET,BUAH
690,1.1.7.01.03.09.005.00028,SEPATU BOOT,"BAHAN KARET SINTETIS, FULL KARET, KOMBINASI KANVAS",PASANG
691,1.1.7.01.03.09.007.00076,Lampu Senter,Senter Kepala,BUAH
692,1.1.7.01.03.09.007.00082,Kacamata Pelindung,Buah,BUAH
693,1.1.7.01.03.09.007.00086,Lampu Senter,"(Lampu Cordless Spotlight) (Baterai: 6 V/ 4.5Ah, Bola Lampu: Halogen 12 W, Penghentian Arus: 2 A, Pengisian : 220 V - 240 V/ 9 V Dc Adaptor.)",BUAH
694,1.1.7.01.05.01.004.00098,Meteran,"Rollmeter, 5 meter",BUAH
695,1.1.7.01.05.01.004.00151,Toren Air,uk.650ltr,BUAH
696,1.1.7.01.05.01.004.00158,Dispenser,"Panas/ Dingin Ex. Denpoo,Modena",UNIT
697,1.1.7.01.05.01.004.00201,MESIN POTONG RUMPUT,-,UNIT
698,1.1.7.01.05.01.004.00244,Pompa Jet Pump,200 Watt,UNIT
699,1.1.7.01.05.01.004.00257,Mesin Steam,"Cold Water High Pressure Cleaner, 120 Bar, 4",UNIT
700,1.1.7.01.05.01.004.00270,Mesin Las (Inverter),standar,UNIT
701,1.1.7.01.05.01.004.00297,JAKET PELAMPUNG,"BAHAN PARASUT, TESTA, FOAM",BUAH
702,1.1.7.01.05.01.004.00444,Sigmat/vernier caliper digital,"Terdapat layar lcd, ketelitian 0,01mm-0,02mm; kapasitas 0-300mm 12"", dilengkapi dengan box hitam",UNIT
703,1.1.7.01.05.01.004.00578,Gasoline chainsaw 18 in 2.2 kw,"Engine 1-cylinder, 2-stroke, air-cooling engine : 49.3cc power: 2.2kw bar : 18 inch 2 stroke",UNIT
704,1.1.7.01.05.01.004.50244,Smart TV 55 INCH + Accessories,"- Dynamic Crystal Color - AirSlim - Crystal Processor 4K - Real 4K UHD Resolution - Smart Hub - Operating System Tizen - Bixby - Contrast Enhancer - Motion Xcelerator - ULTRA HD Resolution 3840 x 2160p - Auto Low Latency Mode (ALLM) - Object Tracking Sound Lite ) - Adaptive Sound - Adjustable Stand - Clean cable solution - SolarCell Remote - SmartThings - Video Call Application - Multiple Voice Assistants - Workspace - Easily access your PC, Laptop, and mobile seamlessly on your TV. - Content Applications - Wireless Lan Built-In - Connect Share Movie - Digital Tv (DVB-T2) - Stylish, Slim Design - Slim & Modern Design with Hidden Cable - HDMI x3 - USB x2 - Sudah termasuk pengiriman, instalasi atau pemasangan, serta garansi on site selama 1 tahun dengan Standar Hibah Kejaksaan",UNIT
705,1.1.7.02.02.03.004.00047,Dop/ Cap (D) Pipa,"Ukuran 4""",BUAH
706,1.1.7.02.02.06.001.00111,"Socket Pvc Uk. 1""",Type Aw,BUAH
707,1.1.7.02.02.06.001.00125,Pipa Pvc Dia. 4,Type Aw,BATANG
708,1.1.7.01.01.01.002.50007,Gypsum,120X240 T 9 Mm,LEMBAR
709,1.1.7.01.01.01.005.00073,Paving Block,Warna Abu-Abu Tipe 4.6 Uk.10.5X21X6,M2
710,1.1.7.01.01.01.006.00009,Cat Tembok,(Luar) Warna Isi 20 Liter,KALENG
711,1.1.7.01.01.01.006.00054,Dempul,1 Kg,KALENG
712,1.1.7.01.01.01.006.00072,Epoxy,"Bahan / material untuk pengecatan dasar / awal bodi kendaraan, Cepat kering, Menutup rata pori-pori bodi kendaraan, Ukuran 1 kg",LITER
713,1.1.7.01.01.01.006.00175,CAT MINYAK,ISI 5 LITER,KALENG
714,1.1.7.01.01.01.008.00032,Skrup Baja Ringan,10x16 @100 pcs,DUS
715,1.1.7.01.01.01.008.00033,Baja Ringan Kanal C CNP,"0,75 mm",BATANG
716,1.1.7.01.01.01.008.05002,Baja Ringan,Tebal 1 mm panjang 6 meter,BATANG
717,1.1.7.01.01.01.011.50002,Tiang Kolom Panel Beton Precast,Uk. 160 mm x 180 mm x 300 cm min. K 225,PCS
718,1.1.7.01.01.01.012.00007,Besi Siku,Uk. 60.60.6 Panjang 6 M,BATANG
719,1.1.7.01.01.01.012.00028,Besi Hollow,20X40 Mm Dia. Tebal 2 Mm,BATANG
720,1.1.7.01.01.01.012.00079,Besi Beton,"Dia 8 Mm, 12M",BATANG
721,1.1.7.01.01.01.012.00121,Plat Strip,,KG
722,1.1.7.01.01.01.012.00137,Besi UNP,"100 x 50 x 5mm x 6meter, SNI",BATANG
723,1.1.7.01.01.01.013.00019,Keramik,Floor/ Wall Tile Uk. 60X60 Cm,M2
724,1.1.7.01.01.01.013.00022,Keramik,Floor/ Wall Tile Uk. 20X40 Cm,M2
725,1.1.7.01.01.01.013.00026,Keramik,Floor/ Wall Tile Uk 20X20 Cm,M2
726,1.1.7.01.01.01.014.00043,Alderon,"PVC, twin wall, warna biru atau putih",METER
727,1.1.7.01.01.01.015.00008,U-Ditch,Panjang Efektif 1.20 M U 400/ 400,UNIT
728,1.1.7.01.01.01.015.00009,U-Ditch,Panjang Efektif 1.20 M U 400/ 600,UNIT
729,1.1.7.01.01.01.015.00012,U-Ditch,Panjang Efektif 1.20 M U 600/ 800,UNIT
730,1.1.7.01.01.01.015.00013,U-Ditch,Panjang Efektif 1.20 M U 800/ 800,UNIT
731,1.1.7.01.01.01.015.00020,U-Ditch,U-Ditch 600X600 Mmx1200Mm,UNIT
732,1.1.7.01.01.01.015.00023,Box Culvert,"Bc 800X800 High Duty Panjang 1,00 M",UNIT
733,1.1.7.01.01.01.015.00029,Box Culvert,"Bc 1500X1500 Mm, Type Heavy Duty (Hd) Panjang 1,00 M",UNIT
734,1.1.7.01.01.01.015.00036,Tutup U-Ditch,"Tutup U-Ditch 400-100/ 600 Mm, Heavy Duty (Hd)",UNIT
735,1.1.7.01.01.01.015.00037,Tutup U-Ditch,"Tutup U-Ditch 600-140/ 600 Mm, Heavy Duty (Hd)",UNIT
736,1.1.7.01.01.01.015.00038,Tutup U-Ditch,"Tutup U-Ditch 800-150/ 600 Mm, Heavy Duty (Hd)",UNIT
737,1.1.7.01.01.01.015.00039,Tutup U-Ditch,"Tutup U-Ditch 1000 Mm, Heavy Duty (Hd)",UNIT
738,1.1.7.01.01.01.015.00040,Tutup U-Ditch,"Tutup U-Ditch 1200 Mm, Heavy Duty (Hd)",UNIT
739,1.1.7.01.01.01.015.00057,Saluran U Ditch,"Terpasang, Ukuran 1200 x 1200 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi",M
740,1.1.7.01.01.01.015.00069,Tutup Saluran U Ditch HD,"Terpasang, Ukuran 1200 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi",M
741,1.1.7.01.01.01.015.00095,Saluran Terbuka,Tipe U-ditch 800x800 mm Duty Panjang Efektik 1200 mm,METER
742,1.1.7.01.01.01.015.00096,STU 800X1000X1200,U-DITCH PANJANG EFEKTIF 1.20 M U 800/1000,METER
743,1.1.7.01.01.01.020.00006,Karung,"Barang plastik anyaman ukuran 45x75 cm, 25 kg",BUAH
744,1.1.7.01.01.01.024.05002,Sekrup,"Sekrup self-drilling, ukuran 10-12 x 19 mm",DUS
745,1.1.7.01.01.01.024.05003,Sekrup,"Sekrup self-drilling, ukuran 10-16 x 16 mm",DUS
746,1.1.7.01.01.01.027.00006,Paku Rivet,2 Mm,KOTAK
747,1.1.7.01.01.01.027.05003,Paku,"Paku Gypsum, 25 mm",DUS
748,1.1.7.01.01.08.001.00005,Media Tanam Rockwool,"Per Lembar Ukuran 120X60Cm, Tebal 2.5Cm, Density 80Kg/M3",LEMBAR
749,1.1.7.01.02.04.006.00012,Roll Meter,"Pegangan Polimer, Uk. 100 M",BUAH
750,1.1.7.01.02.04.006.00017,Batu Gerinda,Duduk,BUAH
751,1.1.7.01.02.04.006.50004,Compound Gypsum,,KG
752,1.1.7.01.02.04.007.00002,Geotextile,"Non Woven (Lokal), Warna Putih, Roll 4X100M, 150Gr/M2",M2
753,1.1.7.01.02.08.001.00075,Mata Bor,"19 Pcs, 1-10 mm, Mata Bor Besi Set, setara Nicholson",SET
754,1.1.7.01.02.08.002.00021,Pahat Kayu,,BUAH
755,1.1.7.01.02.08.002.00103,GERGAJI BESI,,BUAH
756,1.1.7.01.03.01.001.00043,Balliner,Type : Medium,BUAH
757,1.1.7.01.03.01.001.00079,Box File,"N-1806 L, Bindex",BUAH
758,1.1.7.01.03.01.003.00013,Binder Clip,Nomor 155,PACK
759,1.1.7.01.03.01.006.00019,Map Ordner,Folio,LUSIN
760,1.1.7.01.03.01.006.00050,Map Surat Dinas Berkantung,"Ukuran 25 x 35 cm, bahan Buffalo",BUAH
761,1.1.7.01.03.01.006.00053,Map Arsip,"Jenis Bahan; Buffalo skin 230 gr, warna Biru Telor Asin ukuran bahan 69,5x64,5 cm ukuran jadi 36,5x24 cm, ukurankepak atas bawah 16,5x22,5 cm ukuran kepak kanan 14x36,5cm lipatan tengan 1,5x36,5cm cetak logo DKI 5 warna",BUAH
762,1.1.7.01.03.01.010.00130,Lem,Sealent Botol,BOTOL
763,1.1.7.01.03.01.014.00037,Cetak Buku,"Spesifikasi cetak buku, isi 60 lembar",BUKU
764,1.1.7.01.03.01.014.00451,Buku Inventarisasi,Buku Monitoring,BUAH
765,1.1.7.01.03.01.014.00661,Cetak Form,"Lembar Monitor Berkas Pekerjaan, 1 Blok = 100 Lembar",BLOK
766,1.1.7.01.03.02.001.00027,Kertas F4 80gr,,RIM
767,1.1.7.01.03.02.002.00009,Post It,Tab 5 Warna 670-5An (500 Lbr),SET
768,1.1.7.01.03.02.004.00046,Amplop Kertas Cokelat,11X24 Cm,PAK
769,1.1.7.01.03.02.004.00047,Amplop Kertas Cokelat,24X35 Cm,PAK
770,1.1.7.01.03.06.004.00025,Toner Printer,Toner Printer HP 12A (Q2612A),UNIT
771,1.1.7.01.03.06.004.00208,Tinta Printer,T6644 Yellow,BUAH
772,1.1.7.01.03.06.004.00210,Tinta Printer,T6641 Black,BUAH
773,1.1.7.01.03.06.004.00924,Tinta/Toner Printer,Epson 774 Black,BUAH
774,1.1.7.01.03.06.004.05036,Epson Ink Maintenance Box,L15150/L15160 - Ori,UNIT
775,1.1.7.01.03.06.004.05037,Epson Ink Maintenance Box,L1455 - Ori,UNIT
776,1.1.7.01.03.06.004.05069,Ink Bottle 008 (C13T06G199) – Black,,BOTOL
777,1.1.7.01.03.06.004.05070,Ink Bottle 008 (C13T06G299) – Cyan,,BOTOL
778,1.1.7.01.03.06.004.05071,Ink Bottle 008 (C13T06G399) – Magenta,,BOTOL
779,1.1.7.01.03.06.004.05072,Ink Bottle 008 (C13T06G499) – Yellow,,BOTOL
780,1.1.7.01.03.07.001.00034,Sapu Lantai,Bahan Plastik,BUAH
781,1.1.7.01.03.07.001.00044,Sikat Bertangkai,"Bahan Plastik, Bertangkai",BUAH
782,1.1.7.01.03.07.002.00024,Stick Pell,Bahan Stailest Dan Plastik,BUAH
783,1.1.7.01.03.07.002.00075,PEMBERSIH LANTAI,SEROKAN AIR/ WIPER KARET BERGAGANG; LOKAL STANDAR SNI,BUAH
784,1.1.7.01.03.07.003.00080,Ember Plastik semen,,BUAH/METER
785,1.1.7.01.03.07.008.00176,Pembersih Lantai,Ukuran 1 Ltr,BOTOL
786,1.1.7.01.03.07.014.00013,Safety Line Pengaman,,ROLL
787,1.1.7.01.03.08.001.00297,Kabel Nym,2X1.5 Mm2,M
788,1.1.7.01.03.08.001.00307,Kabel Nym,3X2.5 Mm2;,M
789,1.1.7.01.03.08.002.00213,Lampu Sorot,250 Watt,BUAH
790,1.1.7.01.03.08.002.00214,Lampu Sorot,Led,BUAH
791,1.1.7.01.03.08.002.00222,Lampu Tl,Bahan Dan Uk.Standar; (Panjang),BUAH
792,1.1.7.01.03.08.002.00322,Lampu Bulb Led,14 Watt,BUAH
793,1.1.7.01.03.08.002.00358,Lampu Led,18 W,BUAH
794,1.1.7.01.03.08.003.00009,Stop Kontak,Lokal Standar Sni,BUAH
795,1.1.7.01.03.08.004.00006,Saklar Tunggal,Inbow,UNIT
796,1.1.7.01.03.08.004.00019,Saklar Ganda,Inbow,BUAH
797,1.1.7.01.03.08.008.00039,Fitting,Plafond Standar; Gracio Series,BUAH
798,1.1.7.01.03.08.010.00006,Batu Batery,"Size Aaa, Alkaline",BUAH
799,1.1.7.01.03.09.007.00044,Sekop,"Ukuran Besar Bergagang Panjang 42,5 Cm, Lebar 30 Cm, Tebal 2,2 Mm",BUAH
800,1.1.7.01.05.01.004.00099,METERAN,"ROLLMETER, 7 METER",BUAH
801,1.1.7.01.05.01.004.00406,Tangki Air,Kapasitas Toren 1000 Liter,BUAH
802,1.1.7.01.05.01.004.00690,"Rantai (Ukuran 10 Mm, Bahan Besi)",,M
803,1.1.7.01.05.01.004.00763,Closet Jongkok,"Toto, Standard",BUAH
804,1.1.7.01.05.01.004.00775,Wastafel,"Royal, Panjang",BUAH
805,1.1.7.01.05.01.004.50264,Nampan,,BUAH
806,1.1.7.01.05.01.004.50418,Telescopic,5 M,UNIT
807,1.1.7.01.08.03.002.05015,Netpot,Bahan Plastik,BUAH
808,1.1.7.02.01.06.003.00057,Pintu,PVC untuk Kamar Mandi,BUAH
809,1.1.7.02.01.06.003.05012,Pintu,"Alumunium, Set Pintu Uk. 80 x 210 cm; Include Handle, Engsel, Kunci Pintu dan Kusen Pintu.",M2
810,1.1.7.02.01.06.003.05013,Jendela,Jendela Kaca Alumunium Ukuran 180 cm x 180 cm,UNIT
811,1.1.7.02.01.06.003.05014,Jendela,Jendela Kaca Alumunium Ukuran 150 cm x 130 cm,UNIT
812,1.1.7.02.01.06.003.05015,Bovent,"Bovent Kaca Buram Alumunium, Ukuran 60 cm x 40 cm",BUAH
813,1.1.7.02.02.06.001.00001,Pipa kabel,Conduit 20mm,BATANG
814,1.1.7.02.02.06.001.00004,Pipa Pvc Dia. 1/ 2,Type Aw,BATANG
815,1.1.7.02.02.06.001.00108,Knee 90 Ukuran 3,Type Aw,BUAH
816,1.1.7.02.02.06.001.00110,"Knee 90 Ukuran 6""",Type Aw,BUAH
817,1.1.7.02.02.06.001.00126,Pipa Pvc Dia. 5,Type Aw,BATANG
818,1.1.7.02.02.06.001.00127,Pipa Pvc Dia. 6,Type Aw,BATANG
819,1.1.7.02.02.06.001.00140,"Valve Socket 1/2""",Type AW,BUAH
820,1.1.7.02.02.06.001.00146,"Reducing Socket 2"" x 1""",Type AW,BUAH
821,1.1.7.02.02.06.001.00165,"Tee 2""",Type AW,BUAH
822,1.1.7.02.02.06.001.00191,"Tee 1/2""",Type AW,BUAH
823,1.1.7.01.03.09.002.00013,Helm Proyek,"Merk : Msa Usa Bahan: Plastik, Sisi Kiri Dan Kanan",BUAH
824,1.1.7.01.03.09.003.00056,ROMPI,ROMPI SAFETY ANSI CLASS 2 PARASUT BORDER,UNIT
825,1.1.7.01.03.09.003.00115,Pakaian kerja,"atasan :kaos berkerah, bagian depan : logo jaya raya (bordir), nama kelurahan, lenganwarna orange dengan strip hitam, bagian belakang grafik monas warna kuning (bordir) sablon karet teks PPSU KELURAHAN ... (sesuaikan dengan kelurahan masing-masing), bahan",PCS
826,1.1.7.01.03.09.004.00032,SARUNG TANGAN LAS,"LISTRIK, KULIT LAPIS KAIN SIZE 16""",PASANG
827,1.1.7.01.03.09.004.00060,Sarung Tangan Kain,Lokal Standar Sni,PASANG
828,1.1.7.01.03.09.005.00009,SEPATU BOOT,"BAHAN PVC, WARNA ORANYE",PASANG
829,1.1.7.01.03.09.007.00005,Golok,-,BUAH
830,1.1.7.01.03.09.007.00011,Kampak,"(ukuran kecil, bahan kuningan, lapis steinlis Steel)",BUAH
831,1.1.7.01.03.09.007.00021,Cangkul,"Bahan Besi Galvanis, Uk. Standar",BUAH
832,1.1.7.01.03.09.007.00022,CANGKUL,"BAHAN BESI GALVANIS, UK. STANDAR, GAGANG KAYU,",BUAH
833,1.1.7.01.03.09.007.00048,Sekop Taman,-,BUAH
834,1.1.7.01.03.09.007.00058,Gagang Cangkul,"Ukuran P. 70 Cm, Bahan Kayu",BUAH
835,1.1.7.01.03.09.007.00064,Gunting Beton,Uk. 18 Inchi Tp.1800,UNIT
836,1.1.7.01.03.09.007.00074,Tenda Plampang,"uk. 4x4m, rangka besi",UNIT
